train_mse,val_mse,test_mse,steps_run,depth,d_model,n_heads,d_ff,active_params,pad_params,total_params,padding_ratio,agop_dim,agop_offdiag_energy,agop_offdiag_ratio
0.012585693919578691,0.012806625227133434,0.012599823037783306,7326,3,160,20,640,947264,52736,1000000,0.052736,64,460.6959228515634,0.367275220349309
0.014504921233410451,0.01462871507803599,0.014563180128733318,7326,4,136,17,544,910176,89824,1000000,0.089824,64,557.8935546875009,0.40508940170067487
0.01610267173845301,0.01627951240539551,0.01619586783647537,7326,5,120,15,480,884224,115776,1000000,0.115776,64,471.9860839843759,0.4154429852850942
0.016090175340280993,0.016389963308970135,0.01619302201271057,7326,6,112,14,448,922496,77504,1000000,0.077504,64,386.9241943359385,0.4293622966488517
0.01706738726551454,0.017254847288131713,0.017082571546236675,7326,7,104,13,416,926912,73088,1000000,0.073088,64,384.4899597167979,0.4336232537489122
0.018410435517954564,0.018646557331085205,0.018503145138422647,7326,8,96,12,384,902080,97920,1000000,0.09792,64,432.256347656251,0.4406770337938218
0.020550677815314104,0.02076354201634725,0.020489654143651326,7326,9,88,11,352,852608,147392,1000000,0.147392,64,318.799560546876,0.4465492878755555
0.019666564231528606,0.019882810791333517,0.019667919397354124,7326,10,88,11,352,945888,54112,1000000,0.054112,64,243.33239746093852,0.44858601874926685
0.022995820757351123,0.02325020718574524,0.02297825539112091,7326,11,80,10,320,860224,139776,1000000,0.139776,64,218.54568481445415,0.4471276161876666
0.022702691588964388,0.02289324959119161,0.02271054176489512,7326,12,80,10,320,937344,62656,1000000,0.062656,64,160.69314575195415,0.44644841740201696
