data_size,train_loss_mean,train_loss_std,test_loss_mean,test_loss_std,sup_offdiag_energy_ratio_mean,sup_offdiag_energy_ratio_std,sup_offdiag_energy_mean,sup_offdiag_energy_std,sup_weighted_mean_cos2_mean,sup_weighted_mean_cos2_std,agop_offdiag_energy_ratio_mean,agop_offdiag_energy_ratio_std,agop_offdiag_energy_mean,agop_offdiag_energy_std,agop_weighted_mean_cos2_mean,agop_weighted_mean_cos2_std,wtw_agop_offdiag_pearson_mean,wtw_agop_offdiag_pearson_std
3,4.9077601005365067e-08,3.4978363879435574e-08,1.1026271104812622,0.012366481374028494,0.9365347981452942,0.0019456748657029142,6.249320983886719,0.35265721393594274,0.4852911353111267,0.001457743800478277,0.8191028356552124,0.00810322250621993,5.774382781982422,0.3116679014571412,0.45872347950935366,0.016948320302709197,0.5573862641601572,0.016029648752319266
5,0.040150708850706,0.07993558663606166,0.9989447712898254,0.0008709117641378243,0.9338888049125671,0.0065818300734915985,39.609552001953126,16.77383691974385,0.48843812942504883,0.003417774454113672,0.15312854959920513,0.241703327176682,0.2722190354441409,0.5438393439523632,0.08614588570781052,0.12530953839481587,0.2134157618405051,0.05660146422003549
8,0.1394825369119644,0.0070064808113570395,1.0077070713043212,0.0050592191310933265,0.89686199426651,0.044921366304452516,301.66753845214845,115.98632220138893,0.4929090321063995,0.01181145016959619,0.5435836017131805,0.11851245124908735,0.037300381940440275,0.03498854089633224,0.39938131272792815,0.17282679382216717,0.13293043333757484,0.16879410164190142
10,0.2880484342575073,0.03157690278244857,1.007314395904541,0.006867208908676503,0.9206419944763183,0.02196290448971416,518.8416870117187,178.5100857715371,0.4876556396484375,0.009673117778524627,0.7388131380081177,0.14036837646644518,0.22144887447357178,0.15157369793897918,0.4509451985359192,0.1469939216430299,0.015295036034502968,0.019454758629584287
15,0.4758415460586548,0.019960171058323657,1.0036412000656127,0.0038370361233281973,0.9475521087646485,0.016439519745225326,1256.906103515625,364.13330913451966,0.4943565487861633,0.002001164752858223,0.5864890873432159,0.13601297212768623,0.04347998071461916,0.027842153386879943,0.15268802940845488,0.0666254529448863,0.05944714774830602,0.056041751162515176
30,0.6893298506736756,0.0069709624532110145,1.0103017807006835,0.0046222416500773765,0.9456851363182068,0.014041753065809348,5568.46259765625,890.7033182137819,0.49014757871627807,0.004818977258313131,0.8132303476333618,0.04276485918793828,10.138641119003296,5.984884858207456,0.1878119260072708,0.10684484747652287,0.3911565862366132,0.039651793243449175
50,0.8014881253242493,0.005909039983298009,1.0092676639556886,0.0060009052405636245,0.9662139058113098,0.010850490186273347,8451.73447265625,759.7732697619339,0.4948383986949921,0.003332478170345863,0.8189193725585937,0.06488929679569011,10.00596923828125,12.053932546056076,0.09653108417987824,0.028860206475977868,0.3869640407376588,0.04036857785142371
100,0.8801908493041992,0.002880908127795075,1.032078170776367,0.0110925389845585,0.9827243328094483,0.002442523069301667,18571.22890625,3024.8524036917183,0.5001237154006958,0.0036109381225031883,0.9196501493453979,0.008165219102141836,349.56969299316404,187.3051538145462,0.10785639584064484,0.03691008958827873,0.5105034391238846,0.026605699911007245
200,0.9315166473388672,0.0011808844231669204,1.2482933044433593,0.04461081177229329,0.9874024748802185,0.0008281443730585546,36037.313671875,4189.253890371404,0.4996414542198181,0.002619026007396974,0.9469045877456665,0.0049457611842060305,32721.4298828125,21278.097234150464,0.10813642293214798,0.02079754181037456,0.6152832334597331,0.016570686531447342
500,0.9606328964233398,0.0005516695004136902,1.5340061426162719,0.1630964817262679,0.9875554800033569,0.00124452695100426,28575.72890625,2844.896184073207,0.5017396092414856,0.0028118947353159927,0.9543538570404053,0.007204383134600762,115861.84921875,43371.92673939389,0.1392672434449196,0.03113713731905686,0.6172905917568993,0.03286225319314325
1000,0.9754111886024475,0.0006105370879863449,1.0582629680633544,0.05943672326905572,0.9866603374481201,0.003913927135251305,4561.25029296875,1504.50879093512,0.5069576382637024,0.008107964948730506,0.7598143696784974,0.13146032159712884,733.2431343078613,641.9846488429149,0.09758311286568641,0.0530928837592141,0.41591857292410433,0.1432657538261095
1395,0.9807334899902344,0.0004883318467160872,1.0000256657600404,0.002348526109329736,0.9800981640815735,0.005264224920298889,614.4738525390625,396.87819620422806,0.5146430015563965,0.012269625806642504,0.7425638318061829,0.03954100659997115,11.109069442749023,9.128119689062737,0.07824284136295319,0.003664375628086689,0.16907335244241034,0.09442217806722361
1946,0.983593487739563,0.0003744495679329196,0.9944905996322632,0.00017459397838200517,0.9196647644042969,0.008549521282748293,63.0875,10.304808001597266,0.47965312004089355,0.0022787286431835032,0.9175244808197022,0.011801692336139922,2.1968251705169677,0.101998713836461,0.13581983149051666,0.010584094354398488,0.13496759700573022,0.014079161594269522
2714,0.9851159453392029,0.00018375966017060143,0.9932013154029846,0.0003383077076239897,0.8643348455429077,0.009861581696781491,35.05032043457031,2.9162659839056455,0.4654434859752655,0.00450404107841481,0.9266247272491455,0.006390522271938224,1.5501996517181396,0.16713139818667488,0.1636885166168213,0.009357294378243688,0.15643797438700197,0.012245974018727493
3786,0.9871035218238831,0.0001703623664791329,0.9931744694709778,0.00023210847247707525,0.8204268932342529,0.009083713365552503,21.75275001525879,1.425666751257005,0.4510584890842438,0.0027588241395527613,0.9472565054893494,0.006924740283084558,1.8219542026519775,0.22462051860971205,0.1992594540119171,0.012524971353652613,0.20883243617323416,0.01908030416969165
5282,0.9881584405899048,6.788817383911812e-05,0.9927236199378967,0.00026761403996507037,0.8008342385292053,0.008632980615291174,19.750347137451172,0.4636436192614636,0.4448648691177368,0.0027515532034544325,0.9395397901535034,0.0023759996509167755,1.6790315866470338,0.12731079902152123,0.1952112704515457,0.002952732955641569,0.2218521793726178,0.008296784682995766
7368,0.9893831610679626,0.00011854010152751047,0.9932904481887818,0.00032726052446374176,0.7951836466789246,0.021549900484673534,21.61812744140625,6.800990576751003,0.4430921792984009,0.006903787495630481,0.9220529794692993,0.019721950122756942,1.4221250057220458,0.3533768027487069,0.1826036423444748,0.01618275620691757,0.22529991891031909,0.03184734109157718
