step,lr,train_ce,val_ce,test_ce
200,0.00019999999999999998,2.521128833293915,2.516208487892661,2.522263834224161
400,0.0002997310540984919,2.4223804473876953,2.423163898707925,2.428297214455138
600,0.0002975527278822517,2.3326616048812867,2.3306513832255624,2.336672923133055
800,0.00029321695309187366,2.1843498229980467,2.185590852912678,2.1941028493668795
1000,0.00028678712544544135,2.1458776235580443,2.1352477873360654,2.1469492539970165
1200,0.00027835725894518194,2.01938556432724,2.008125376212182,2.020625815616446
1400,0.00026805061124767816,1.9450401186943054,1.9331637473110639,1.9490540708949347
1600,0.00025601788144672695,1.8691206634044648,1.860319042397226,1.8773977103518722
1800,0.00024243500662004042,1.820454078912735,1.804950931155182,1.8231430824815023
2000,0.00022750058935767643,1.782362151145935,1.7663051149443152,1.7872339521567593
2200,0.00021143299388570326,1.7378268480300902,1.7229167131522636,1.7449418989099117
2400,0.00019446715324425074,1.7155155301094056,1.7056413845331089,1.7263714899583984
2600,0.0001768511342039324,1.6984043896198273,1.67758740026115,1.698031358571455
2800,0.00015884251014686035,1.6765165865421294,1.6597919200383373,1.681134987860221
3000,0.00014070459494633104,1.663910484313965,1.6443405292801938,1.6656721208098386
3200,0.00012270259291167053,1.6508460104465486,1.6244544672391756,1.6470792938970262
3400,0.00010509972109198908,1.6204393744468688,1.608688957344518,1.6307570918230987
3600,8.81533606367453e-05,1.6270869255065918,1.595642586035137,1.6173835781609969
3800,7.211129348616986e-05,1.6029065191745757,1.585459495739252,1.6078168813831695
4000,5.720807941694038e-05,1.5899619340896607,1.5761900079984095,1.5979153576040854
4200,4.3661626416291e-05,1.5844346404075622,1.5675243267940688,1.5909315903792531
4400,3.167000453097956e-05,1.5843427896499633,1.5613695362866935,1.5850073806454255
4600,2.140854977755664e-05,1.570804363489151,1.5542795513486565,1.5775385829034987
4800,1.3027300459238399e-05,1.5697504878044128,1.550675438303271,1.5742393520867781
5000,6.64880337438512e-06,1.5707637310028075,1.547353622000947,1.5703503838900863
5200,2.3663219932041457e-06,1.5642336308956146,1.54598510190911,1.5688607287321874
5400,2.424728018981192e-07,1.5573979258537292,1.545160777966536,1.5680371094354788
5493,2.7448862416346028e-11,1.571694439649582,1.5451276366142797,1.5679987961462551
