step,lr,train_ce,val_ce,test_ce
200,0.00019999999999999998,2.7525013089179993,2.758091190475954,2.7614640981679486
400,0.0002999364712368423,2.4259665489196776,2.4205553431685325,2.4256597844750174
600,0.0002994208469101338,2.2353876352310182,2.231016460855979,2.2373678031253097
800,0.00029838878782402327,2.0460293769836424,2.0456327811401938,2.0530305031599907
1000,0.0002968438610255249,1.9183388888835906,1.9104648598807927,1.922878304692048
1200,0.0002947914061571046,1.8091196477413178,1.7948539712192968,1.8110864936384095
1400,0.0002922385170015785,1.71363765001297,1.7008866259926243,1.7189869088782614
1600,0.0002891940169642749,1.6561007022857666,1.6367545484114077,1.6564018802892297
1800,0.00028566842857720193,1.6007428467273712,1.5817707573910254,1.5998592913457905
2000,0.000281673937130619,1.5633611679077148,1.5427615273541153,1.562297007605711
2200,0.0002772243485577129,1.534176242351532,1.5099035008053605,1.5294359096023613
2400,0.00027233504171793744,1.5007634818553925,1.4783598682265746,1.4995386091149898
2600,0.00026702291524393756,1.4881292939186097,1.4592077946896855,1.4817840252610552
2800,0.00026130632913576844,1.4618103444576263,1.4427140220587642,1.4615728912776866
3000,0.0002552050413042733,1.4474142253398896,1.4240829634092196,1.4439262453639408
3200,0.000248740139282942,1.4235907316207885,1.4049365124885362,1.425134432774142
3400,0.00024193396734427066,1.4154820442199707,1.3964467469759012,1.4189119191572301
3600,0.00023481004927252541,1.3996500551700592,1.379842768174851,1.402547159697676
3800,0.00022739300705982765,1.4080465972423553,1.3734492275142756,1.3949928540726102
4000,0.00021970847580656525,1.3823950052261353,1.3608513673855511,1.3849287830644592
4200,0.00021178301512025596,1.3750350832939149,1.3530560713809692,1.3751606708757942
4400,0.0002036440173190891,1.3645427584648133,1.3449551023403308,1.368032276276034
4600,0.00019531961275741708,1.3577016294002533,1.3375343666025616,1.3609340318459817
4800,0.0001868385726004145,1.3467857897281648,1.3290554147868365,1.3506498726123957
5000,0.0001782302093839391,1.3577129304409028,1.3220020725086903,1.345066887019789
5200,0.00016952427570328458,1.3277257800102233,1.3177261733243126,1.3390023166869682
5400,0.00016075086138098044,1.3326722502708435,1.3097202873570275,1.3331915136844545
5600,0.00015194028946905296,1.3300558805465699,1.3045412481735053,1.3281347143994973
5800,0.00014312301144518843,1.3213959634304047,1.2990773328173704,1.321645601373129
6000,0.00013432950196502543,1.3140361487865448,1.2953964979067962,1.3176852773212036
6200,0.0001255901535343395,1.308939927816391,1.2904748662468795,1.3130267608557908
6400,0.00011693517146515677,1.2978510737419129,1.2857001665763617,1.3078498537938272
6600,0.0001083944694788552,1.2993230879306794,1.2818319927253008,1.3030815003554215
6800,9.999756631707381e-05,1.2915219783782959,1.2742757392078505,1.2978500777466448
7000,9.177348371776778e-05,1.3003269553184509,1.2741152687225887,1.296349580260529
7200,8.375064610902943e-05,1.2842316806316376,1.26895263192911,1.2918687382719605
7400,7.595678236735656e-05,1.2895463585853577,1.2633819256798695,1.2868829546492582
7600,6.841882997991708e-05,1.277924621105194,1.2618738513881878,1.2837064684831194
7800,6.116284194204657e-05,1.2787315189838409,1.2580411674506318,1.2804367407134636
8000,5.4213896711765115e-05,1.2763973236083985,1.2550384980243408,1.2782092190809398
8200,4.759601153253177e-05,1.2720699071884156,1.253871037532558,1.2755707140910073
8400,4.133205942381444e-05,1.2676880717277528,1.2499385309687265,1.2728458242760354
8600,3.544369012637601e-05,1.273625373840332,1.2473069951536397,1.2702324391356357
8800,2.995125527550882e-05,1.2689890801906585,1.2459306270282893,1.2682227423112638
9000,2.4873738060837338e-05,1.269744908809662,1.2427373055790707,1.2656717818264351
9200,2.0228687615801436e-05,1.2659240365028381,1.2411494185943672,1.263982362327621
9400,1.6032158363586257e-05,1.2622676193714142,1.2397836771104933,1.2621924966939895
9600,1.2298654529134405e-05,1.2614530086517335,1.2384455211453944,1.261060248279307
9800,9.04108000901952e-06,1.2493903040885925,1.2368654098817007,1.2599137843340293
10000,6.270693772443802e-06,1.251099568605423,1.2359415391637851,1.2588430337380474
10200,3.997070947504311e-06,1.257441622018814,1.2354613871153288,1.257827279494955
10400,2.2280697272232862e-06,1.2557509303092957,1.2349856994069122,1.2572888749674866
10600,9.698042097234182e-07,1.2470207452774047,1.2345616212388855,1.2569638697155119
10800,2.2662326641874063e-07,1.2579343557357787,1.2344606101353397,1.2567835462693415
10986,6.4823229783961264e-12,1.2535286843776703,1.234442267217985,1.2567861513915726
