step,lr,train_ce,val_ce,test_ce
200,0.00019999999999999998,2.4779213070869446,2.4779058242886327,2.4831186416269153
400,0.0002999364712368423,2.403720188140869,2.4059192413309662,2.410994848371544
600,0.0002994208469101338,2.278760039806366,2.2729298168798304,2.2809089527591278
800,0.00029838878782402327,2.1433500409126283,2.1374355830006255,2.1464204096482287
1000,0.0002968438610255249,2.059676480293274,2.040087888753382,2.0528124258530505
1200,0.0002947914061571046,1.926305228471756,1.917370078289328,1.9325063465797283
1400,0.0002922385170015785,1.8338724792003631,1.820059628490887,1.837655601546824
1600,0.0002891940169642749,1.7535846889019013,1.7424167863605917,1.7646467561907018
1800,0.00028566842857720193,1.7077284753322601,1.6931148028394987,1.714517730216965
2000,0.000281673937130619,1.671720767021179,1.6527491581429339,1.6747438670433186
2200,0.0002772243485577129,1.6354588210582732,1.6162987247734173,1.638072754341697
2400,0.00027233504171793744,1.6237670242786408,1.5882217228997508,1.6094257310889233
2600,0.00026702291524393756,1.5947175800800324,1.5759662637531917,1.5977005446377701
2800,0.00026130632913576844,1.5688736975193023,1.5539217922540778,1.5746544389274921
3000,0.0002552050413042733,1.5586230635643006,1.5337619338048345,1.5550911367010418
3200,0.000248740139282942,1.5361224472522736,1.5148079413372315,1.5365927277034679
3400,0.00024193396734427066,1.514737606048584,1.5042325159357022,1.525176329127012
3600,0.00023481004927252541,1.5220511555671692,1.4910097111558192,1.5117271973696484
3800,0.00022739300705982765,1.5082283020019531,1.4871517683543019,1.5083564595008152
4000,0.00021970847580656525,1.4916596114635468,1.4777508843274758,1.4997573698318245
4200,0.00021178301512025596,1.488202315568924,1.467065039540273,1.488535312164222
4400,0.0002036440173190891,1.488643616437912,1.4582940431496163,1.4810173512450107
4600,0.00019531961275741708,1.4646021962165832,1.4485569270352612,1.4706783604631337
4800,0.0001868385726004145,1.4560008943080902,1.4375023629174075,1.4606333115343721
5000,0.0001782302093839391,1.4572450876235963,1.4365413671726632,1.460709981959914
5200,0.00016952427570328458,1.4516568660736084,1.4296442368113496,1.4521197010211135
5400,0.00016075086138098044,1.4413428783416748,1.4231632787345458,1.4446667895352987
5600,0.00015194028946905296,1.4441200852394105,1.4166623467743982,1.4391154812008815
5800,0.00014312301144518843,1.4235070645809174,1.4175708690570148,1.4404194862465514
6000,0.00013432950196502543,1.4217723309993744,1.4074083178517651,1.4312573938297932
6200,0.0001255901535343395,1.420622581243515,1.4021671741376702,1.4243006802625804
6400,0.00011693517146515677,1.4177881538867951,1.3992607368091512,1.4221440412390578
6600,0.0001083944694788552,1.413481730222702,1.3970849139684018,1.4194611221658207
6800,9.999756631707381e-05,1.4101264297962188,1.390012539039224,1.413517420130309
7000,9.177348371776778e-05,1.4021628081798554,1.3886405879317598,1.4115048732447615
7200,8.375064610902943e-05,1.4074105858802795,1.3850246208464854,1.4077764005354838
7400,7.595678236735656e-05,1.3984355270862578,1.3795960989517362,1.401651260732801
7600,6.841882997991708e-05,1.3965106070041657,1.3776370234833988,1.3996426797413986
7800,6.116284194204657e-05,1.388432639837265,1.3750559671131444,1.397740665334489
8000,5.4213896711765115e-05,1.3923050582408905,1.3721496788759937,1.394706000329198
8200,4.759601153253177e-05,1.3936354756355285,1.3686697740410185,1.392061411176841
8400,4.133205942381444e-05,1.3910103559494018,1.3676382743493454,1.3895001874478432
8600,3.544369012637601e-05,1.37737575173378,1.3653754853011242,1.3879023675544366
8800,2.995125527550882e-05,1.3829615533351898,1.3630108994952703,1.385924018379057
9000,2.4873738060837338e-05,1.3779985666275025,1.3608834574416107,1.3836887705859995
9200,2.0228687615801436e-05,1.3791676461696625,1.3596095905890961,1.3820057149638365
9400,1.6032158363586257e-05,1.3733824610710144,1.3576260414855168,1.3802100736094145
9600,1.2298654529134405e-05,1.3740874469280242,1.3564972424485873,1.3792865766781548
9800,9.04108000901952e-06,1.364090883731842,1.355661661788675,1.3781547047437017
10000,6.270693772443802e-06,1.3796732902526856,1.3547973270186562,1.3771430993429783
10200,3.997070947504311e-06,1.3800629019737243,1.353975999791318,1.3764548299806816
10400,2.2280697272232862e-06,1.3803339838981628,1.3534412061817194,1.3760345087040051
10600,9.698042097234182e-07,1.3762209475040437,1.3531256019803268,1.3756666315768948
10800,2.2662326641874063e-07,1.3708871960639955,1.3529962268288278,1.3755262936574337
10986,6.4823229783961264e-12,1.3793424904346465,1.3529668497677683,1.3754976781360506
