train_mse,val_mse,test_mse,steps_run,depth,d_model,n_heads,d_ff,active_params,pad_params,total_params,padding_ratio,agop_dim,agop_offdiag_energy,agop_offdiag_ratio
0.01258569429233664,0.012806626677513122,0.012599823931852976,7326,3,160,20,640,947264,52736,1000000,0.052736,64,460.6958007812509,0.36727519451663226
0.014504921843100527,0.014628716250260672,0.01456318054596583,7326,4,136,17,544,910176,89824,1000000,0.089824,64,557.8935546875009,0.40508940170067487
0.016102671092898813,0.01627951216697693,0.01619586753845215,7326,5,120,15,480,884224,115776,1000000,0.115776,64,471.9862060546884,0.4154429588179174
0.016090175557754924,0.01638996469974518,0.016193021774291994,7326,6,112,14,448,922496,77504,1000000,0.077504,64,386.924072265626,0.42936221935079133
0.017067387291840333,0.01725484691063563,0.017082571486632028,7326,7,104,13,416,926912,73088,1000000,0.073088,64,384.489990234376,0.4336232881662778
0.018410434939550212,0.018646556754906972,0.01850314501921336,7326,8,96,12,384,902080,97920,1000000,0.09792,64,432.2562255859385,0.44067701902852924
0.020550678154878665,0.020763541539510093,0.020489654699961345,7326,9,88,11,352,852608,147392,1000000,0.147392,64,318.7996215820323,0.4465492970149024
0.01966656393545883,0.019882810274759927,0.01966791907946269,7326,10,88,11,352,945888,54112,1000000,0.054112,64,243.3323669433604,0.4485860129642165
0.022995819927897915,0.023250205755233764,0.022978254437446593,7326,11,80,10,320,860224,139776,1000000,0.139776,64,218.54556274414165,0.44712758977827366
0.022702692841156395,0.022893250783284504,0.02271054228146871,7326,12,80,10,320,937344,62656,1000000,0.062656,64,160.69317626953227,0.4464484264828613
