blocks,width,depth_width_ratio,param_count,param_error,train_visual_token_budget,supervised_positions_per_image,train_image_budget,patch_aofe,patch_log10_aofe,patch_aofe_ratio,patch_agop_mean_cos2,patch_aofe_total_energy,steps,planned_steps,images_per_step,effective_train_images,final_train_loss,final_val_loss,best_val_loss,wtw_stem_mean_cos2
2,288,0.006944444444444444,3008451,8451,60169020,665.6,90399,17.022193908691406,1.2310155334826922,0.33163005113601685,0.01908695511519909,51.32886505126953,707.0,707.0,128.0,90496.0,0.007286216132342815,0.007292095921651608,0.007292095921651608,0.003482745960354805
3,232,0.01293103448275862,2925987,-74013,58519740,665.6,87921,11.176017761230469,1.0482870832992406,0.38571593165397644,0.024281799793243408,28.9747371673584,687.0,687.0,128.0,87936.0,0.006980397738516331,0.006931341591107791,0.006908535653266677,0.004237207118421793
4,200,0.02,2898003,-101997,57960060,665.6,87080,14.01089096069336,1.1464657532022349,0.41679129004478455,0.02819303795695305,33.616085052490234,681.0,681.0,128.0,87168.0,0.006736666429787874,0.006680011633962842,0.006680011633962842,0.00470950361341238
5,184,0.02717391304347826,3064707,64707,61294140,665.6,92089,6.988110065460205,0.844359736672309,0.4248591661453247,0.028469925746321678,16.448062896728516,720.0,720.0,128.0,92160.0,0.0062277652323246,0.006499797859221948,0.006486541057944308,0.005717641673982143
6,168,0.03571428571428571,3065331,65331,61306620,665.6,92108,6.489326477050781,0.8121996239992404,0.44475847482681274,0.03089059703052044,14.590675354003906,720.0,720.0,128.0,92160.0,0.006501695606857538,0.006388319157126902,0.006388319157126902,0.006042248569428921
7,152,0.046052631578947366,2927523,-72477,58550460,665.6,87967,4.356058120727539,0.6390936656987193,0.43112584948539734,0.029172737151384354,10.103913307189941,688.0,688.0,128.0,88064.0,0.006161823868751526,0.006383705152550384,0.006383705152550384,0.006642187014222145
8,144,0.05555555555555555,3002403,2403,60048060,665.6,90217,7.786308288574219,0.8913315950379384,0.5299585461616516,0.04348866268992424,14.692296981811523,705.0,705.0,128.0,90240.0,0.006257983390241861,0.006420876542990308,0.006420876542990308,0.007044462487101555
9,136,0.0661764705882353,3012675,12675,60253500,665.6,90526,6.627345085144043,0.8213395848467118,0.5442059636116028,0.046282779425382614,12.178009033203125,708.0,708.0,128.0,90624.0,0.006439263001084328,0.006496031783360016,0.006448544531932532,0.007320165168493986
10,128,0.078125,2965251,-34749,59305020,665.6,89101,8.798957824707031,0.9444312360385592,0.6396239399909973,0.06875681132078171,13.756454467773438,697.0,697.0,128.0,89216.0,0.006015735678374767,0.00635263533168907,0.00635263533168907,0.00799042358994484
11,120,0.09166666666666666,2867043,-132957,57340860,665.6,86150,7.940150260925293,0.8998287211768725,0.6595304608345032,0.07480800151824951,12.039095878601074,674.0,674.0,128.0,86272.0,0.006205916870385408,0.006452845413479026,0.006437309744268813,0.0077506317757070065
