step,lr,train_mse,val_mse,test_mse
250,0.00025,0.16545924544334412,0.16509020169576008,0.1637288087209066
500,0.00029940657709276274,0.06394770517945289,0.06438277832667033,0.06364897116025289
750,0.000296987145455455,0.04785219257076581,0.04783658393224081,0.047574266990025836
1000,0.00029273290616443475,0.04279399501780669,0.04256383816401164,0.04227665702501933
1250,0.00028669696393704127,0.03998135191698869,0.04030287408828735,0.03999849724769592
1500,0.00027895466408977724,0.03757184346516927,0.03787912746270498,0.037563052137692766
1750,0.0002696026520195791,0.03551798996826013,0.03583859999974569,0.03546773664156596
2000,0.0002587576668009479,0.033146209083497524,0.03322648040453593,0.03301075387001037
2250,0.0002465550839581982,0.03150307536125183,0.03171534514427185,0.03142578446865082
2500,0.0002331472256030736,0.02907427822550138,0.029360335111618042,0.029184615055720012
2750,0.0002187014590319023,0.028117619268596173,0.02837721010049184,0.028150741298993427
3000,0.0002033981075170793,0.02624106251945098,0.026224650303522747,0.026001454989115397
3250,0.00018742819937199787,0.02445526421070099,0.02483724602063497,0.02475510052839915
3500,0.00017099108338734903,0.02284994622071584,0.023098026275634766,0.022928358872731525
3750,0.0001542919404047646,0.022398135252296926,0.022597203691800436,0.02241855478286743
4000,0.00013753922209027244,0.020812184549868107,0.02104652424653371,0.020891607880592345
4250,0.0001209420488787832,0.020274378297229608,0.02039955695470174,0.02026327633857727
4500,0.00010470759957048439,0.019519493853052457,0.019635156869888305,0.01953191947937012
4750,8.903852516422597e-05,0.018713020843764146,0.018833642025788626,0.018753283739089965
5000,7.413041921043793e-05,0.01797646253059308,0.01820812193552653,0.018143252333005268
5250,6.016937626059692e-05,0.017699157632887364,0.017932853142420453,0.01785217754046122
5500,4.7329668890572034e-05,0.017187599713603657,0.017462916175524392,0.01737284058332443
5750,3.577157229504756e-05,0.01695560527344545,0.017126612663269043,0.01702333343029022
6000,2.5639363608123177e-05,0.016357038045922916,0.016777114987373352,0.016670075198014576
6250,1.7059520924125996e-05,0.016574228058258693,0.01661626350879669,0.01652284872531891
6500,1.0139144499853723e-05,0.01635253895074129,0.016473736663659415,0.01637719984849294
6750,4.964619846028983e-06,0.016156307701021434,0.01636762261390686,0.01629285035530726
7000,1.6005393962944368e-06,0.0161743087383608,0.01630025843779246,0.016216109236081442
7250,8.889621431395488e-08,0.016059873066842555,0.01628011898199717,0.016197316646575928
7326,1.4994939256940395e-11,0.016200622947265705,0.01627951216697693,0.01619586753845215
