step,lr,train_nll,test_nll
1000,0.0003,4.864933271408081,4.865755908203125
2000,0.0002536142762536405,4.838213596343994,4.838547291564941
3000,0.00014302434612185582,4.776799573898315,4.77614135055542
4000,3.675685764502535e-05,4.744948396682739,4.745655235290528
4883,4.90937496988586e-11,4.742833995819092,4.743400590515137
