step,lr,train_mse,val_mse,test_mse
200,0.00019999999999999998,0.0012907328375149519,0.0011724650605835698,0.001275479370220141
400,0.0002969194962385296,0.00034039105812553314,0.00031133487407880074,0.0003354433442423628
600,0.00027267645397263397,0.00019584530309657566,0.00018977725730192932,0.00020117277215996927
800,0.00022808608886496618,0.00017038646183209494,0.0001606918786737052,0.00016802513379264963
1000,0.00017054423381660278,0.00015458166744792835,0.0001483161190249534,0.00015339652467942372
1200,0.00010959487761812853,0.00014542279022862205,0.0001401549445952035,0.00014405608420598912
1400,5.534718292797153e-05,0.00013791757373837754,0.00013544468013358048,0.00013879236675248566
1600,1.6798763563113688e-05,0.00013989950384711846,0.00013341269170103425,0.00013646129412915218
1800,3.433251488557387e-07,0.00013898758334107697,0.0001325771141141145,0.00013573835233480415
1832,3.153866644178826e-10,0.00013601888640550895,0.00013257889209357515,0.00013574076795273206
