step,lr,train_mse,val_mse,test_mse
200,0.00019999999999999998,0.0011100177827756852,0.0010235600956630979,0.0010962351754477079
400,0.0002969194962385296,0.0002563680252933409,0.00023874718119093978,0.00025831617346160453
600,0.00027267645397263397,0.00017908865556819363,0.00017320517244198444,0.00018255014252975923
800,0.00022808608886496618,0.0001534569812065456,0.00014735768358646467,0.0001525985399811444
1000,0.00017054423381660278,0.0001417862622474786,0.0001335035763490437,0.00013714634273624554
1200,0.00010959487761812853,0.0001307764643570408,0.00012650074627758428,0.00012933666320432994
1400,5.534718292797153e-05,0.00012659813764912542,0.00012190012652850287,0.00012436571639475667
1600,1.6798763563113688e-05,0.00012208148327772506,0.0001194981477138671,0.00012176241315583783
1800,3.433251488557387e-07,0.00012338775886746589,0.00011896542061797597,0.0001212258456772278
1832,3.153866644178826e-10,0.00012127887093811296,0.0001189647730577483,0.00012122364238497208
