step,lr,train_mse,val_mse,test_mse
200,0.00019999999999999998,0.010437486972659827,0.010171741162511435,0.010632288896224716
400,0.0002969194962385296,0.0008582532609580085,0.0007886338968422602,0.000836194535209374
600,0.00027267645397263397,0.0004712234585895203,0.00044918400288390166,0.00047749948730184275
800,0.00022808608886496618,0.0003444373040110804,0.0003238934150431305,0.00034451361385766756
1000,0.00017054423381660278,0.00028254414501134307,0.0002659107465826144,0.000281947474418716
1200,0.00010959487761812853,0.00023894339101389052,0.00023103560537988827,0.00024396529558792034
1400,5.534718292797153e-05,0.00022464706780738196,0.00021582752974195913,0.00022710952775510535
1600,1.6798763563113688e-05,0.0002245618772576563,0.0002080973870099776,0.00021882251894567162
1800,3.433251488557387e-07,0.00022138609710964374,0.0002066193317825144,0.00021734043151478875
1832,3.153866644178826e-10,0.00021909124043304474,0.00020660704996606165,0.00021732997265644372
