step,lr,train_ce,val_ce,test_ce
200,0.00019999999999999998,2.540790331363678,2.538971210780897,2.5454856821151655
400,0.0002999901687840653,2.330180847644806,2.3308815700895122,2.336149051649628
600,0.00029991033133739157,2.0247857868671417,2.0218671323145,2.0312771262321214
800,0.00029975029792523396,1.8162874639034272,1.8004918938550856,1.818652719625442
1000,0.0002995101541589969,1.666804575920105,1.6531653536099817,1.6738569869722963
1200,0.00029919002850588473,1.5798140108585357,1.5599236678694317,1.5810729838343685
1400,0.0002987900922201774,1.517402708530426,1.4981998298765824,1.5212980550855952
1600,0.0002983105592516159,1.4764167189598083,1.4543276173424018,1.4814983402695203
1800,0.00029775168613094786,1.4488670110702515,1.4169073410059703,1.440478496876587
2000,0.0002971137718326944,1.4065547108650207,1.3895877441266729,1.4128892605993608
2200,0.0002963971576152102,1.3916608393192291,1.367872962347638,1.391191028197323
2400,0.0002956022268381247,1.3675367057323455,1.346110334255991,1.3743950295344356
2600,0.00029472940475725964,1.3543867707252502,1.332603495531482,1.354611749456272
2800,0.00029377915829713493,1.3438898980617524,1.3189784032122351,1.3420572692895285
3000,0.0002927519958011824,1.3275362432003022,1.3108846077846694,1.3335041026486985
3200,0.00029164846675980315,1.3167741477489472,1.2993541027582935,1.322026547958489
3400,0.0002904691615164118,1.3037375926971435,1.2896732828853175,1.3103983694251171
3600,0.0002892147109516272,1.303035694360733,1.2745007625336524,1.297491087972102
3800,0.0002878857861457765,1.3001387774944306,1.2697693991086825,1.2906069685625643
4000,0.0002864830980198943,1.2816430151462554,1.261629373871993,1.283176464454267
4200,0.0002850073969554089,1.2718891620635986,1.25432815772949,1.2752969917965653
4400,0.00028345947239271805,1.2746727526187898,1.2472413541162577,1.2677072743503905
4600,0.0002818401524088711,1.2551831007003784,1.242338993206926,1.2640784555042825
4800,0.00028015030327458037,1.2517367362976075,1.234484652660448,1.2550930865359977
5000,0.0002783908289908018,1.2485068082809447,1.2315490367048878,1.2527301590262165
5200,0.00027656267080513117,1.2476584255695342,1.2292253043798334,1.2465064706095523
5400,0.00027466680670827425,1.242846953868866,1.2205842619597327,1.2397854140104398
5600,0.0002727042509108616,1.2388591468334198,1.2171536659577613,1.2359144911612965
5800,0.0002706760533008869,1.2283727407455445,1.2115087321993498,1.231111323129455
6000,0.0002685832988820591,1.2268799781799316,1.2060180576011392,1.2255583924525226
6200,0.00026642710719336965,1.2115125834941864,1.204444422666565,1.2220447901643745
6400,0.000264208631710184,1.218540322780609,1.199791556272413,1.2177535913976185
6600,0.0002619290592271793,1.221336680650711,1.1955911158239279,1.2148921768484822
6800,0.0002595896092234571,1.2152457416057587,1.1929458455248245,1.2113623995181828
7000,0.0002571915332101713,1.2012324512004853,1.1902285334683231,1.208642045609591
7200,0.0002547361140610202,1.2065430760383606,1.1865177192824106,1.205681423228079
7400,0.0002522246653259612,1.2011024355888367,1.1802260407797467,1.2009515433475888
7600,0.0002496585305285145,1.1917392671108247,1.1788408742431655,1.1984659558574784
7800,0.0002470390824470323,1.1915813386440277,1.1775962791732122,1.1973568526610845
8000,0.0002443677223803181,1.201029747724533,1.173764852516147,1.1928034921132804
8200,0.00024164587939798845,1.1910804152488708,1.1707713669905377,1.1906586298146893
8400,0.00023887500957597816,1.1781507551670074,1.1673259654287564,1.187424587532494
8600,0.00023605659521759904,1.188990592956543,1.1656618996670371,1.18534057592996
8800,0.0002331921440605673,1.1879701673984528,1.1631898411037027,1.1817366818894104
9000,0.0002302831884704248,1.1770044028759004,1.1597799085060685,1.179145031300415
9200,0.00022733128462078573,1.1676343441009522,1.1556784731271967,1.1779962253154765
9400,0.00022433801166084615,1.1710407733917236,1.1547520435037195,1.173676379275993
9600,0.00022130497087060355,1.1737472116947174,1.1523377803901176,1.172514902992566
9800,0.00021823378480423657,1.1652398824691772,1.1487434654763296,1.1691891855065235
10000,0.00021512609642210405,1.1617355525493622,1.1460834074828585,1.166829685629997
10200,0.0002119835682118278,1.1650931596755982,1.1427915689670858,1.1636645286460268
10400,0.0002088078812989288,1.1668719112873078,1.1426721942095115,1.1628850611060373
