step,lr,train_ce,val_ce,test_ce
200,0.00019999999999999998,3.2262234449386598,3.2277773857967436,3.226704162404124
400,0.0002960192410639873,2.5575583577156067,2.557519356764182,2.5619984073767434
600,0.00026498159004424856,2.454023504257202,2.458176135591478,2.4626772075808807
800,0.0002093762704964182,2.379860150814056,2.3788321662651013,2.3835747469714175
1000,0.00014108425448327604,2.3171253561973573,2.3196143689270428,2.3250191862792002
1200,7.469723109070378e-05,2.273248052597046,2.2725274841451517,2.2800800173801417
1400,2.439985705068549e-05,2.2493842005729676,2.2481892621485278,2.2553734917325063
1600,9.389763821034346e-07,2.240790605545044,2.2400387007673332,2.2473225104066996
1647,4.079675500590074e-10,2.2427395224571227,2.2399133457656846,2.247201628501671
