step,lr,train_ce,val_ce,test_ce
200,0.00019999999999999998,2.9987408399581907,2.997906573003791,2.999192384892969
400,0.0002960192410639873,2.5134249925613403,2.517217925571098,2.5227454870029713
600,0.00026498159004424856,2.431682026386261,2.433467329239654,2.4382556457156657
800,0.0002093762704964182,2.3711491346359255,2.368988889120818,2.37383248793715
1000,0.00014108425448327604,2.306497132778168,2.3059748454778775,2.3123025126840875
1200,7.469723109070378e-05,2.267721116542816,2.262284795691348,2.2687354206897132
1400,2.439985705068549e-05,2.2381600618362425,2.235976039672089,2.243062406790148
1600,9.389763821034346e-07,2.227246654033661,2.228314804031209,2.2353885150173096
1647,4.079675500590074e-10,2.234953594207764,2.2281777286614615,2.2352944977738014
