step,lr,train_ce,val_ce,test_ce
200,0.00019999999999999998,4.261951994895935,4.26074916352979,4.258946367733261
400,0.0002960192410639873,3.0926943182945252,3.090316149084617,3.089370074368544
600,0.00026498159004424856,2.7479578256607056,2.752872108030702,2.7552458936620976
800,0.0002093762704964182,2.591752862930298,2.594206794258955,2.598113596368488
1000,0.00014108425448327604,2.5033695459365846,2.5077357119901387,2.5122408298004064
1200,7.469723109070378e-05,2.4613337755203246,2.463847517010147,2.467827735323307
1400,2.439985705068549e-05,2.4464679598808288,2.4408927048879687,2.44532375207176
1600,9.389763821034346e-07,2.4375204920768736,2.4340244394450394,2.438445509684922
1647,4.079675500590074e-10,2.4291340708732605,2.4339462043343647,2.4382913342270642
