step,lr,train_ce,val_ce,test_ce
200,0.00019999999999999998,3.7454607248306275,3.7480889181278307,3.745919132724056
400,0.0002991924717534617,2.6945369362831117,2.6950636867111437,2.698216586844391
600,0.00029268761225709943,2.490579056739807,2.490555487181011,2.4950468386159828
800,0.00027993001752376175,2.391570174694061,2.396862005570656,2.401963861792795
1000,0.0002614787400238513,2.317903387546539,2.317173394425228,2.3229840520918486
1200,0.000238142335953424,2.225193774700165,2.2171106119436628,2.222727031307092
1400,0.00021094343337196795,2.14386385679245,2.1387021033281095,2.145308222035496
1600,0.00018107391946497821,2.0914486169815065,2.0877525893627373,2.0964263707363933
1800,0.00014984271067700942,2.0397839188575744,2.037768467955032,2.0485209216685982
2000,0.00011861839448803158,2.001988172531128,2.001617614548723,2.0114536504635865
2200,8.876925633640144e-05,1.9758062303066253,1.9699073018610849,1.980965628304559
2400,6.160331977764505e-05,1.9562748968601227,1.946185982089081,1.9584221977871938
2600,3.831102738823709e-05,1.9354854345321655,1.927543700432586,1.9400230419810593
2800,1.991307420308205e-05,1.9227779030799865,1.914611223231034,1.9287866175859825
3000,7.215679685448794e-06,1.9130433738231658,1.9067849525907654,1.921122363102233
3200,7.752582630672798e-07,1.9082806885242463,1.9032648740125278,1.9174247103648387
3296,8.246645976095478e-11,1.9061921536922455,1.9029363220446245,1.9171815933427119
