step,lr,train_ce,val_ce,test_ce
200,0.00019999999999999998,3.4104442596435547,3.411684806808417,3.4096300425247876
400,0.0002991924717534617,2.6220770120620727,2.6186368778068823,2.6224267137839687
600,0.00029268761225709943,2.452272319793701,2.4554593352522835,2.4598348332547593
800,0.00027993001752376175,2.3400137186050416,2.3335038579860825,2.3390358037718033
1000,0.0002614787400238513,2.214424729347229,2.2133820488663467,2.2193275630072473
1200,0.000238142335953424,2.1073079347610473,2.1070163788059584,2.1147100877251552
1400,0.00021094343337196795,2.045873463153839,2.033615408360586,2.0419760169937553
1600,0.00018107391946497821,1.9840809464454652,1.9803305140145648,1.9903645918003585
1800,0.00014984271067700942,1.9353124856948853,1.9281702583969755,1.9396629605650477
2000,0.00011861839448803158,1.8963365018367768,1.8845217980836566,1.8993170712138754
2200,8.876925633640144e-05,1.8678330838680268,1.8534701077880655,1.8692592691912142
2400,6.160331977764505e-05,1.8405229151248932,1.826698137222923,1.8429329139204476
2600,3.831102738823709e-05,1.8157743871212007,1.8058073735471074,1.8241696820767495
2800,1.991307420308205e-05,1.8045957207679748,1.7920792662172207,1.80955596542812
3000,7.215679685448794e-06,1.7897756218910217,1.7836364645919665,1.801176530049521
3200,7.752582630672798e-07,1.7844237565994263,1.7796037331103853,1.7974521094166094
3296,8.246645976095478e-11,1.794007134437561,1.7793338313685476,1.7971340456133649
