step,lr,train_ce,val_ce,test_ce
200,0.00019999999999999998,3.8197198510169983,3.8217183018666523,3.81927342363827
400,0.0002991924717534617,2.7830132126808165,2.7824260346279095,2.7851153996271414
600,0.00029268761225709943,2.5179015040397643,2.522633454929389,2.52713701245901
800,0.00027993001752376175,2.4009439945220947,2.403829932957223,2.408177436650201
1000,0.0002614787400238513,2.3008493781089783,2.3016451832229383,2.306721515330444
1200,0.000238142335953424,2.2184401512145997,2.219596927023487,2.224168599809487
1400,0.00021094343337196795,2.151207172870636,2.1531619887390274,2.1587960858974387
1600,0.00018107391946497821,2.1003385186195374,2.099003193742138,2.106419917472147
1800,0.00014984271067700942,2.0591229677200316,2.056149129671885,2.0652151330803483
2000,0.00011861839448803158,2.020002818107605,2.014216272241829,2.025786423654817
2200,8.876925633640144e-05,1.9938659608364104,1.9859734557761772,1.9983204340018121
2400,6.160331977764505e-05,1.9554368019104005,1.9543090047419442,1.9673263392559932
2600,3.831102738823709e-05,1.9432801723480224,1.9359916582583956,1.9495470362242564
2800,1.991307420308205e-05,1.9268183887004853,1.919145529021332,1.9342992301030713
3000,7.215679685448794e-06,1.9203483283519744,1.9093994434979429,1.924296241122203
3200,7.752582630672798e-07,1.9162632644176483,1.9056672020536995,1.9209156452168372
3296,8.246645976095478e-11,1.9183358550071716,1.9053359699504488,1.920578672731863
