step,lr,train_ce,val_ce,test_ce
200,0.00019999999999999998,3.1360817432403563,3.1395317391558057,3.1397399630189367
400,0.0002997310540984919,2.518240547180176,2.5221734046936035,2.527128194657007
600,0.0002975527278822517,2.398623263835907,2.390293081991381,2.3955630296003334
800,0.00029321695309187366,2.2423962235450743,2.2384806417334198,2.2431665738801656
1000,0.00028678712544544135,2.1262106895446777,2.108151955225976,2.115051472135068
1200,0.00027835725894518194,2.0026888072490694,1.99714573784453,2.006814295178692
1400,0.00026805061124767816,1.9155733823776244,1.9103203947048544,1.9239975274955758
1600,0.00025601788144672695,1.8544492781162263,1.840401482730971,1.8578496638905468
1800,0.00024243500662004042,1.7996992409229278,1.781188874346778,1.7993318207718483
2000,0.00022750058935767643,1.748040395975113,1.734817545505425,1.7544738687884935
2200,0.00021143299388570326,1.7047780394554137,1.6915308229631871,1.7110818552205451
2400,0.00019446715324425074,1.663862258195877,1.653710339560666,1.677331054300436
2600,0.0001768511342039324,1.651320618391037,1.6263018466871195,1.647498647513675
2800,0.00015884251014686035,1.627271693944931,1.6027231954443573,1.6236176235638957
3000,0.00014070459494633104,1.605624407529831,1.5825702809096447,1.6025640870954987
3200,0.00012270259291167053,1.5780212223529815,1.5632280837628163,1.583572661361664
3400,0.00010509972109198908,1.571769779920578,1.5477369854643768,1.5694419794313217
3600,8.81533606367453e-05,1.5512915968894958,1.536674909140785,1.557434718570112
3800,7.211129348616986e-05,1.5453897714614868,1.5225932342893411,1.5443372087633616
4000,5.720807941694038e-05,1.538933676481247,1.5128440769733222,1.5329592383857573
4200,4.3661626416291e-05,1.524446678161621,1.5038463719501547,1.5255589555097013
4400,3.167000453097956e-05,1.5151806056499482,1.4968320759782612,1.5186922932918516
4600,2.140854977755664e-05,1.5119964897632598,1.4901977941247633,1.511896410869125
4800,1.3027300459238399e-05,1.5075145542621613,1.4857166209037977,1.5075590320395138
5000,6.64880337438512e-06,1.4985360026359558,1.48195309824012,1.5033540094461038
5200,2.3663219932041457e-06,1.5043392181396484,1.47997502723408,1.5012720843605045
5400,2.424728018981192e-07,1.5058371663093566,1.4791167058868135,1.5006133452607109
5493,2.7448862416346028e-11,1.4978255093097688,1.4790606908134645,1.5005460777690947
