step,lr,train_ce,val_ce,test_ce
200,0.00019999999999999998,2.772964668273926,2.7746707527473715,2.7781670170079797
400,0.0002997310540984919,2.4561864256858827,2.4543065027293087,2.4589092089834073
600,0.0002975527278822517,2.3185081005096437,2.318753951155214,2.322977423620659
800,0.00029321695309187366,2.149978244304657,2.1500715673448356,2.1553400760125982
1000,0.00028678712544544135,2.0246875286102295,2.021544810387835,2.0296413241706572
1200,0.00027835725894518194,1.9295010805130004,1.9149481378209898,1.9251791144759232
1400,0.00026805061124767816,1.839046972990036,1.828964869535788,1.8417380095189684
1600,0.00025601788144672695,1.7579686522483826,1.7455853860788746,1.759210850386406
1800,0.00024243500662004042,1.694463974237442,1.683085873975592,1.6992733698726599
2000,0.00022750058935767643,1.6627638280391692,1.6416913703761922,1.6593393332609523
2200,0.00021143299388570326,1.6276276350021361,1.60845132590829,1.6268887347849976
2400,0.00019446715324425074,1.5968782961368562,1.5798020156550683,1.5980871595941364
2600,0.0001768511342039324,1.567521047592163,1.5495176838509852,1.570316919484783
2800,0.00015884251014686035,1.5488660216331482,1.5295514441514844,1.5519557745741135
3000,0.00014070459494633104,1.5326024174690247,1.5156246652356435,1.5355339156130785
3200,0.00012270259291167053,1.5185346901416779,1.4963937971232513,1.5183447098098857
3400,0.00010509972109198908,1.5029868841171266,1.4813225169356226,1.5035467144047225
3600,8.81533606367453e-05,1.4837169706821443,1.471308013140145,1.492741081670216
3800,7.211129348616986e-05,1.4831104397773742,1.4613635359227286,1.4831073457080601
4000,5.720807941694038e-05,1.4754442870616913,1.449964401447592,1.4729835216931961
4200,4.3661626416291e-05,1.4643032789230346,1.4430218466044962,1.4655817465039411
4400,3.167000453097956e-05,1.4573237001895905,1.4372487756208476,1.4604085498133965
4600,2.140854977755664e-05,1.4552693128585816,1.4321063931343494,1.4554173367107572
4800,1.3027300459238399e-05,1.4483529508113862,1.4271762997417126,1.4509114882703154
5000,6.64880337438512e-06,1.4406915247440337,1.4247302571967921,1.4483863144132574
5200,2.3663219932041457e-06,1.4363833367824554,1.4227187971681703,1.4464285007980293
5400,2.424728018981192e-07,1.4377185106277466,1.4220653087512176,1.445922441818957
5493,2.7448862416346028e-11,1.4366702258586883,1.4220044487401058,1.4458733028331732
