blocks,width,depth_width_ratio,param_count,param_error,train_visual_token_budget,supervised_positions_per_image,train_image_budget,patch_aofe,patch_log10_aofe,patch_aofe_ratio,patch_aofe_total_energy,steps,planned_steps,images_per_step,effective_train_images,final_train_loss,final_val_loss,best_val_loss
2,288,0.006944444444444444,3008451,8451,60169020,665.6,90399,17.022193908691406,1.2310155334826922,0.33163008093833923,51.328861236572266,707.0,707.0,128.0,90496.0,0.007286216132342815,0.007292095921651608,0.007292095921651608
3,232,0.01293103448275862,2925987,-74013,58519740,665.6,87921,11.176017761230469,1.0482870832992406,0.38571590185165405,28.97473907470703,687.0,687.0,128.0,87936.0,0.006980397738516331,0.006931341591107791,0.006908535653266677
4,200,0.02,2898003,-101997,57960060,665.6,87080,14.01089096069336,1.1464657532022349,0.41679129004478455,33.616085052490234,681.0,681.0,128.0,87168.0,0.006736666429787874,0.006680011633962842,0.006680011633962842
5,184,0.02717391304347826,3064707,64707,61294140,665.6,92089,6.988110065460205,0.844359736672309,0.4248591661453247,16.448062896728516,720.0,720.0,128.0,92160.0,0.0062277652323246,0.006499797859221948,0.006486541057944308
6,168,0.03571428571428571,3065331,65331,61306620,665.6,92108,6.489326477050781,0.8121996239992404,0.44475847482681274,14.590675354003906,720.0,720.0,128.0,92160.0,0.006501695606857538,0.006388319157126902,0.006388319157126902
7,152,0.046052631578947366,2927523,-72477,58550460,665.6,87967,4.356058120727539,0.6390936656987193,0.4311258792877197,10.103912353515625,688.0,688.0,128.0,88064.0,0.006161823868751526,0.006383705152550384,0.006383705152550384
8,144,0.05555555555555555,3002403,2403,60048060,665.6,90217,7.786308288574219,0.8913315950379384,0.5299584865570068,14.692298889160156,705.0,705.0,128.0,90240.0,0.006257983390241861,0.006420876542990308,0.006420876542990308
9,136,0.0661764705882353,3012675,12675,60253500,665.6,90526,6.627344608306885,0.8213395535992437,0.544205904006958,12.178009033203125,708.0,708.0,128.0,90624.0,0.006439263001084328,0.006496031783360016,0.006448544531932532
10,128,0.078125,2965251,-34749,59305020,665.6,89101,8.798957824707031,0.9444312360385592,0.6396239399909973,13.756455421447754,697.0,697.0,128.0,89216.0,0.006015735678374767,0.00635263533168907,0.00635263533168907
11,120,0.09166666666666666,2867043,-132957,57340860,665.6,86150,7.940150260925293,0.8998287211768725,0.659530520439148,12.039094924926758,674.0,674.0,128.0,86272.0,0.006205916870385408,0.006452845413479026,0.006437309744268813
12,120,0.1,3126963,126963,62539260,665.6,93960,10.829233169555664,1.0345977048227923,0.653717041015625,16.565628051757812,735.0,735.0,128.0,94080.0,0.006064764689654112,0.006312992432577584,0.006312992432577584
13,112,0.11607142857142858,2951427,-48573,59028540,665.6,88685,26.901229858398438,1.4297721353372195,0.722415030002594,37.2379150390625,693.0,693.0,128.0,88704.0,0.005837917327880859,0.0063777998539502065,0.0063777998539502065
14,112,0.125,3177891,177891,63557820,665.6,95490,4.716769218444824,0.6736446276538322,0.5728815197944641,8.23341178894043,747.0,747.0,128.0,95616.0,0.00568832503631711,0.006317982107424374,0.006317982107424374
15,104,0.14423076923076922,2936547,-63453,58730940,665.6,88238,10.833242416381836,1.0347584614995782,0.7096085548400879,15.266504287719727,690.0,690.0,128.0,88320.0,0.006512877065688372,0.006708621937845181,0.006708621937845181
16,104,0.15384615384615385,3131859,131859,62637180,665.6,94107,14.528130531311035,1.162209733212626,0.7228077054023743,20.099578857421875,736.0,736.0,128.0,94208.0,0.0065755113027989864,0.0065594953912612945,0.006477379761880059
17,96,0.17708333333333334,2836227,-163773,56724540,665.6,85224,17.824024200439453,1.2510057631542149,0.7916968464851379,22.51369857788086,666.0,666.0,128.0,85248.0,0.006768370978534222,0.007102223746091206,0.006838729481448657
18,96,0.1875,3002691,2691,60053820,665.6,90226,8.203081130981445,0.913977006877475,0.6786381602287292,12.087562561035156,705.0,705.0,128.0,90240.0,0.006707843393087387,0.0065870667622734145,0.0065870667622734145
19,96,0.19791666666666666,3169155,169155,63383100,665.6,95228,25.158710479736328,1.4006883773977585,0.7804073095321655,32.23792266845703,744.0,744.0,128.0,95232.0,0.006237821187824011,0.006483049928086123,0.006469942651015066
20,88,0.22727272727272727,2804211,-195789,56084220,665.6,84262,10.236550331115723,1.0101536261153063,0.7634458541870117,13.408350944519043,659.0,659.0,128.0,84352.0,0.0067214882001280785,0.0068593976248424535,0.0068432150588658485
21,88,0.23863636363636365,2944131,-55869,58882620,665.6,88466,8.718196868896484,0.9404266717601294,0.7487367391586304,11.643875122070312,692.0,692.0,128.0,88576.0,0.006739659234881401,0.006659234642897864,0.006659234642897864
22,88,0.25,3084051,84051,61681020,665.6,92670,5.800478935241699,0.7634638539673116,0.648345947265625,8.946579933166504,724.0,724.0,128.0,92672.0,0.006224645767360926,0.006352162597147778,0.006352162597147778
23,88,0.26136363636363635,3223971,223971,64479420,665.6,96875,17.814895629882812,1.2507832823424514,0.7708761692047119,23.10993194580078,757.0,757.0,128.0,96896.0,0.0062011973932385445,0.006460418985639818,0.006397794201098457
24,80,0.3,2781603,-218397,55632060,665.6,83582,17.541799545288086,1.2440741439045928,0.8193385601043701,21.40970802307129,653.0,653.0,128.0,83584.0,0.007284811232239008,0.006882092394039628,0.006881376106138958
