target_n,depth,d_model,n_heads,d_ff,active_n,pad_ratio,alpha,train_ce,val_ce,test_ce,aofe,aofe_ratio,wtw_aofe_ratio,steps_run,elapsed_s
10000000,4,448,112,1792,9985920,0.0014,0.0089,,,0.997900,1423370000.0,0.932886,0.944624,,
10000000,5,400,100,1600,9916000,0.0084,0.0125,,,0.986175,1246460000.0,0.936718,0.936035,,
10000000,6,364,91,1456,9828728,0.0171,0.0165,,,0.979050,968880000.0,0.937063,0.935454,,
10000000,8,316,79,1264,9839608,0.0160,0.0253,,,0.977441,744537000.0,0.936836,0.929380,,
10000000,10,284,71,1136,9908760,0.0091,0.0352,0.962499,0.958437,0.973154,590369840.0,0.937391,0.922661,54932,43136.8
