target_n,depth,d_model,n_heads,d_ff,active_n,pad_ratio,alpha,train_ce,val_ce,test_ce,aofe,aofe_ratio,wtw_aofe_ratio,steps_run,elapsed_s
300000,1,128,32,512,295680,0.0144,0.0078,2.214072,2.2108,2.218648,145453628416.0,0.949501,0.63108,1647,49.3
300000,2,96,24,384,295872,0.0138,0.0208,2.228913,2.228178,2.235294,85913868288.0,0.941481,0.629769,1647,69.9
300000,3,80,20,320,292960,0.0235,0.0375,2.240357,2.239913,2.247202,124471599104.0,0.941734,0.648775,1647,84.5
300000,4,68,17,272,275400,0.082,0.0588,2.267655,2.267379,2.272941,65504554496.0,0.939383,0.599299,1647,98.4
300000,5,64,16,256,296320,0.0123,0.0781,2.252933,2.25199,2.256589,100687311360.0,0.941814,0.604754,1647,107.5
300000,6,56,14,224,270256,0.0991,0.1071,2.28005,2.278946,2.285057,81576203776.0,0.940527,0.571727,1647,119.4
300000,8,48,12,192,259680,0.1344,0.1667,2.343306,2.343737,2.348955,95413509120.0,0.94254,0.56248,1647,139.2
300000,10,44,11,176,267960,0.1068,0.2273,2.319943,2.319143,2.324533,47295481600.0,0.936759,0.52987,1647,162.0
300000,12,40,10,160,263120,0.1229,0.3,2.391163,2.392914,2.39786,25616198400.0,0.93708,0.531704,1647,178.6
300000,16,36,9,144,278856,0.0705,0.4444,2.397252,2.397545,2.403475,29346254208.0,0.940788,0.553918,1647,221.9
300000,20,32,8,128,272960,0.0901,0.625,2.433334,2.433946,2.438291,27452841216.0,0.940682,0.545592,1647,227.4
300000,24,28,7,112,250040,0.1665,0.8571,2.477859,2.478634,2.483022,18904648448.0,0.939459,0.455377,1647,258.7
1000000,1,256,64,1024,984576,0.0154,0.0039,1.565,1.545128,1.567999,383632834560.0,0.929363,0.76801,5493,295.4
1000000,2,188,47,752,994520,0.0055,0.0106,1.544675,1.52603,1.547967,381559787520.0,0.925145,0.773751,5493,432.8
1000000,3,156,39,624,998088,0.0019,0.0192,1.447801,1.428545,1.451391,248127168512.0,0.925107,0.765829,5493,529.7
1000000,4,136,34,544,994704,0.0053,0.0294,1.444366,1.424392,1.445884,138728214528.0,0.923418,0.778644,5493,614.1
