step,lr,train_ce,val_ce,test_ce
200,0.00019999999999999998,2.635626459121704,2.6351231971454876,2.639602204518237
400,0.0002998993370276523,2.417804253101349,2.4162704995654716,2.4219432321277066
600,0.00029908262449019463,2.1858871817588805,2.184001290085696,2.1918299505269294
800,0.0002974495637829791,1.9996746122837066,2.003634245665769,2.0129163245383683
1000,0.0002950090972366361,1.8715533852577209,1.857738048449677,1.8730509754593676
1200,0.0002917745883830009,1.755563235282898,1.7403717119708644,1.7592165127095372
1400,0.00028776374877894853,1.6711745619773866,1.658212188521631,1.6779940057452878
1600,0.0002829985410212682,1.6145411729812622,1.5940237178215484,1.6156193222547872
1800,0.00027750505848364983,1.5716910719871522,1.5507485192338875,1.5748386813967747
2000,0.00027131338243431986,1.5311923265457152,1.5182669976265912,1.5402157844365045
2200,0.00026445741731672285,1.5036262214183806,1.4902081889408598,1.5114627842670671
2400,0.00025697470509522123,1.4775949358940124,1.462895309467809,1.4879964600939908
2600,0.00024890621968242055,1.466764461994171,1.4433220397352002,1.4689804421877322
2800,0.0002402961425737967,1.4512900531291961,1.4295053314035435,1.453674543201569
3000,0.00023119162091820845,1.437210363149643,1.4109921716984417,1.4347630053628686
3200,0.00022164250934905442,1.4300234138965606,1.3976248915337963,1.4236261743522096
3400,0.00021170109698975836,1.412475299835205,1.3872729270826165,1.410819779016931
3600,0.00020142182112844857,1.398485153913498,1.3742316198816904,1.4004175849155542
3800,0.0001908609691296957,1.3824163854122162,1.3657899209157789,1.3884603324221847
4000,0.00018007637021558216,1.374362623691559,1.3559226655832473,1.3827753690703728
4200,0.00016912707880385256,1.370730811357498,1.3474017155159808,1.373404218240527
4400,0.0001580730511371252,1.365082460641861,1.3443279623666264,1.3690105231092697
4600,0.0001469748169738816,1.3539279878139496,1.3339805132996068,1.3587652305454854
4800,0.000135893148138992,1.3423298239707946,1.3273304701914859,1.352449455669462
5000,0.00012488872574873105,1.3442889630794526,1.3223789812304099,1.3458372955987532
5200,0.00011402180793249686,1.3424896895885468,1.3163428391653125,1.340032797506108
5400,0.00010335189987072558,1.32845738530159,1.3125794155059596,1.3355712724308433
5600,9.293742795581209e-05,1.3296679973602294,1.3071637168513357,1.3305204756619955
5800,8.283541986026881e-05,1.3266581177711487,1.3007692794093695,1.3233070963202986
6000,7.310119226400992e-05,1.3114724159240723,1.297385156633171,1.319603315573385
6200,6.378804795070574e-05,1.3114027619361877,1.2925831144351603,1.315550081039108
6400,5.494698393185144e-05,1.2957849562168122,1.290494518020555,1.3142607904737353
6600,4.6626412196806504e-05,1.3029821515083313,1.2856793063331353,1.30895494876095
6800,3.887189461792518e-05,1.3084551632404327,1.2828242834075874,1.3058732630381544
7000,3.1725893462386444e-05,1.2973525166511535,1.2803778078383787,1.3026860282858639
7200,2.522753887687502e-05,1.2942526936531067,1.276829353408235,1.3005409830390486
7400,1.9412414618320532e-05,1.2959019899368287,1.2744779169931675,1.2975735643578106
7600,1.431236320399583e-05,1.2899394810199738,1.272750793239243,1.2958463531990065
7800,9.955311547932454e-06,1.288636749982834,1.2714499996561328,1.294626927687637
8000,6.365118038437855e-06,1.2964423418045044,1.2698773795424776,1.2930315586956447
8200,3.561441894086786e-06,1.2938485622406006,1.2688726041063891,1.2917672367829252
8400,1.5596355135699734e-06,1.2893124163150786,1.2684504248859838,1.2914006992601659
8600,3.7066040887133163e-07,1.2819509267807008,1.2679728121761762,1.2909672934055518
8789,1.027183268442755e-11,1.2899770379066466,1.2679238639486143,1.2909406767069136
