step,lr,train_ce,val_ce,test_ce
200,0.00019999999999999998,2.518684506416321,2.5153798440223714,2.521543659296387
400,0.00029996564232142307,2.329066216945648,2.3259253812410488,2.3310802276768574
600,0.000299686699463218,2.056988978385925,2.0545728831925,2.0628662683923142
800,0.0002991279330457488,1.8755045294761659,1.860467396922456,1.8706731278415336
1000,0.0002982903876241315,1.737166601419449,1.7164513111965238,1.7369149427682316
1200,0.00029717562890154336,1.6411473155021667,1.6218584296322636,1.6419847437752366
1400,0.0002957857408023049,1.5702221989631653,1.5538607836833072,1.5747603009345275
1600,0.00029412332157620244,1.5339545011520386,1.506369972952129,1.5267433381203475
1800,0.0002921914789413333,1.4869624137878419,1.4684423785673306,1.491539665219144
2000,0.00028999382427455296,1.4665775358676911,1.4429194852776235,1.4662880022470033
2200,0.0002875344658603858,1.4409321546554565,1.4227633678306968,1.444454758591563
2400,0.0002848180012110183,1.4225095093250275,1.4002716702929998,1.4229345741226613
2600,0.00028184950847173355,1.4072465598583221,1.3846719981728655,1.4040143409514305
2800,0.00027863453692785167,1.39412402510643,1.371405189958244,1.3938222696891722
3000,0.0002751790966309241,1.382747346162796,1.360268228719747,1.3806858161022113
3200,0.00027148964716357363,1.3677705526351929,1.3491193137989843,1.3711680738499747
3400,0.0002675730855639832,1.3619278013706206,1.3368397847974438,1.3564993956237381
3600,0.0002634367334326077,1.3513590931892394,1.3293482719203598,1.3501937373309112
3800,0.00025908832324521096,1.3420924842357635,1.3250087678272953,1.3444744114643328
4000,0.0002545359838978147,1.3368929266929626,1.3147807357355912,1.3353151615489063
4200,0.0002497882255105815,1.3248440980911256,1.3092329378749088,1.3291604189092188
4400,0.00024485392351903914,1.3192333936691285,1.3003155673645523,1.3226677482202798
4600,0.000239742302082386,1.314153289794922,1.2947612390467145,1.3164750219005656
4800,0.0002344629168398952,1.3155373692512513,1.2873599343168,1.3098469891814641
5000,0.00022902563704764993,1.3051035702228546,1.282552641486611,1.3043183875943856
