step,lr,train_mse,val_mse,test_mse
200,0.00019999999999999998,0.0004448463456355967,0.00041355554077943617,0.0004501184792554175
400,0.0002997312610773647,0.00019774037718889304,0.00018678617859470913,0.00019878513624214313
600,0.000297554606712694,0.00016240054319496266,0.0001563655029961162,0.0001625663717277348
800,0.0002932221351518593,0.00013923516889917663,0.00013187315066302702,0.00013584737528369507
1000,0.00028679714510779713,0.00013406354482867756,0.0001325296193086119,0.00013524610072967005
1200,0.0002783735076180219,0.00011562594299903139,0.00011404591945888983,0.00011655112426855008
1400,0.00026807429456052705,0.00011382513330318033,0.00010986012520416725,0.00011166889321016656
1600,0.0002560499805366209,9.991383558372036e-05,9.699229452632029e-05,9.849040361586958e-05
1800,0.00024247624439173107,8.770057793299202e-05,8.698146187023006e-05,8.793848775729367e-05
2000,0.00022755140249461947,7.303251877601724e-05,7.24213142265481e-05,7.339858778075062e-05
2200,0.00021149351127557064,6.916408165125176e-05,6.790920253313908e-05,6.869212599915706e-05
2400,0.00019453718135634286,5.813196185044944e-05,5.7479769814315e-05,5.785884522166188e-05
2600,0.00017693014981840096,5.224137439654442e-05,5.1821230458286166e-05,5.230104976693507e-05
2800,0.0001589296606896241,4.756326634378638e-05,4.733974988498217e-05,4.773878125971268e-05
3000,0.00014079870653166594,4.393464114400558e-05,4.382581457982517e-05,4.399077905955809e-05
3200,0.0001228021860395073,4.153070076426957e-05,4.126708220362409e-05,4.143639902891168e-05
3400,0.00010520303379182683,4.0365374479733875e-05,3.984425810895945e-05,4.027133069360968e-05
3600,8.825837869770246e-05,3.432076100580161e-05,3.409686244346879e-05,3.433300364783711e-05
3800,7.221578726589199e-05,3.237921428080881e-05,3.249606941773725e-05,3.273436132903126e-05
4000,5.730964658365909e-05,3.0478020744340028e-05,3.0047697443726726e-05,3.03418101711114e-05
4200,4.375773985091256e-05,2.922583853433025e-05,2.898886734990149e-05,2.920319242217705e-05
4400,3.175806450213562e-05,2.7999839767289812e-05,2.7894842126195066e-05,2.8051463562984612e-05
4600,2.148593940429953e-05,2.7110652627015953e-05,2.6936402719002217e-05,2.712283524240113e-05
4800,1.3091443395472601e-05,2.6600592718750704e-05,2.6380623901125297e-05,2.6571785135522738e-05
5000,6.697222587844264e-06,2.6265101496392163e-05,2.5998219412444584e-05,2.620827101716052e-05
5200,2.3966984711278447e-06,2.5916838694683975e-05,2.5801666528092358e-05,2.596424631271723e-05
5400,2.527029964895899e-07,2.5604320398997515e-05,2.5718181032888506e-05,2.5887574917181734e-05
5495,2.742773165254064e-11,2.5511208332318346e-05,2.571236836956814e-05,2.5885838278389368e-05
