step,lr,train_mse,val_mse,test_mse
200,0.00019999999999999998,0.0009649435436585918,0.0009121022303588688,0.0009763794951140881
400,0.0002997312610773647,0.0003019141673576087,0.0002916011250239204,0.00030064136477779937
600,0.000297554606712694,0.00024192984783439898,0.0002379809183449569,0.00024216721728655764
800,0.0002932221351518593,0.00015463042436749674,0.00015222566831983966,0.00015481829177588224
1000,0.00028679714510779713,0.00014695960853714496,0.00014563457542945716,0.0001475486351409927
1200,0.0002783735076180219,0.00013135584667907098,0.00012946409564888612,0.00013112378788222983
1400,0.00026807429456052705,0.0001303830198594369,0.0001264949797504497,0.00012723052879499102
1600,0.0002560499805366209,0.00011294680953142234,0.00011212587560294196,0.00011357155612627552
1800,0.00024247624439173107,0.0001090432419005083,0.0001074797976550392,0.00010842256729533388
2000,0.00022755140249461947,0.00010610447752696927,0.00010442800372733142,0.00010500395133435218
2200,0.00021149351127557064,9.261230079573579e-05,9.102467182939026e-05,9.18939860474149e-05
2400,0.00019453718135634286,8.444753730145749e-05,8.295088694219224e-05,8.396317637313835e-05
2600,0.00017693014981840096,8.482747944071889e-05,8.370120948794383e-05,8.44754342159087e-05
2800,0.0001589296606896241,7.453614125552122e-05,7.347545695004307e-05,7.428272246298465e-05
3000,0.00014079870653166594,8.444900595350191e-05,8.380006527824497e-05,8.433726708806881e-05
3200,0.0001228021860395073,6.418455413950141e-05,6.370123115960847e-05,6.462693934074856e-05
3400,0.00010520303379182683,6.180123018566519e-05,6.0879044626331464e-05,6.164635851746425e-05
3600,8.825837869770246e-05,5.8781022926268636e-05,5.7221852660983465e-05,5.788680341951972e-05
3800,7.221578726589199e-05,5.5961507678148335e-05,5.5422625750493765e-05,5.606848902640525e-05
4000,5.730964658365909e-05,5.323381337802857e-05,5.258162722880529e-05,5.323111856176349e-05
4200,4.375773985091256e-05,5.1693602108571214e-05,5.1463076074882835e-05,5.1991757738340475e-05
4400,3.175806450213562e-05,4.9714737178874203e-05,4.954116527435624e-05,5.020757188586603e-05
4600,2.148593940429953e-05,4.893301465926925e-05,4.8730311722134836e-05,4.93223087687511e-05
4800,1.3091443395472601e-05,4.833117527596187e-05,4.768037086416205e-05,4.822977247055281e-05
5000,6.697222587844264e-06,4.7347263716801535e-05,4.718548370874487e-05,4.776200347061438e-05
5200,2.3966984711278447e-06,4.739741980301915e-05,4.689821071224287e-05,4.747129886792126e-05
5400,2.527029964895899e-07,4.744469461002154e-05,4.6803637153723024e-05,4.73876551206393e-05
5495,2.742773165254064e-11,4.707835214503575e-05,4.6800684107107706e-05,4.737808194477111e-05
