depth,width,depth_width_ratio,param_count,param_error,steps,train_steps_done,early_stopped,final_train_loss,final_val_loss,best_val_loss,test_loss,aofe,log10_aofe,aofe_ratio,aofe_total_energy,aofe_diag_energy,agop_mean_cos2
2.0,264.0,0.007575757575757576,297265.0,-2735.0,60000.0,13400.0,1.0,0.005637986119836569,0.03829547530040145,0.03829547530040145,0.07442920282483101,8.039765357971191,0.9052433739691778,0.9172921776771545,8.76467227935791,0.724907636642456,0.3973452992594822
3.0,216.0,0.013888888888888888,295489.0,-4511.0,60000.0,11400.0,1.0,0.002701630350202322,0.03594750352203846,0.03594750352203846,0.0632724049501121,9.360589981079102,0.9713032223975278,0.923277735710144,10.138433456420898,0.7778424620628357,0.42480554785960667
4.0,192.0,0.020833333333333332,309121.0,9121.0,60000.0,15600.0,1.0,0.004698887467384338,0.03387200948782265,0.03387200948782265,0.06683624221477658,12.398651123046875,1.093374439865289,0.9304659366607666,13.325206756591797,0.9265555143356323,0.47113985865846375
5.0,168.0,0.02976190476190476,295009.0,-4991.0,60000.0,14200.0,1.0,0.0036759530194103718,0.023576264968141913,0.023576264968141913,0.04952643846627325,9.877565383911133,0.9946499131474933,0.9232073426246643,10.69918441772461,0.8216195106506348,0.4237654643386053
6.0,152.0,0.039473684210526314,289105.0,-10895.0,60000.0,13200.0,1.0,0.010467207059264183,0.015241803601384163,0.015241803601384163,0.031126273213885725,16.155500411987305,1.2083204147089042,0.9343616366386414,17.290414810180664,1.134914755821228,0.5017916646432764
7.0,144.0,0.04861111111111111,301825.0,1825.0,60000.0,17600.0,1.0,0.004394843243062496,0.01837990910280496,0.01837990910280496,0.05737961910199374,10.819841384887695,1.0342208942111295,0.9277406930923462,11.66257095336914,0.8427290916442871,0.4475174186910381
8.0,136.0,0.058823529411764705,307089.0,7089.0,60000.0,19600.0,1.0,0.002440938726067543,0.015301890671253204,0.015301890671253204,0.05201076244702563,8.911599159240723,0.9499556438479534,0.9229708313941956,9.655342102050781,0.7437432408332825,0.4174861583117674
9.0,128.0,0.0703125,305665.0,5665.0,60000.0,19800.0,1.0,0.008024525828659534,0.017149876803159714,0.017149876803159714,0.036147432401776314,13.912546157836914,1.1434066182096552,0.9311657547950745,14.940998077392578,1.02845299243927,0.4813364976160522
10.0,120.0,0.08333333333333333,298321.0,-1679.0,60000.0,12800.0,1.0,0.0103136682882905,0.015492713544517756,0.015492713544517756,0.03878640953917056,12.82121467590332,1.1079291719887652,0.9311771988868713,13.768823623657227,0.947608232498169,0.47299991213689047
11.0,112.0,0.09821428571428571,285825.0,-14175.0,60000.0,13400.0,1.0,0.0036838985979557037,0.016321802511811256,0.016321802511811256,0.0394794408348389,13.178730010986328,1.1198735608046289,0.9320433139801025,14.13961124420166,0.9608816504478455,0.484604051737639
12.0,112.0,0.10714285714285714,311137.0,11137.0,60000.0,10000.0,1.0,0.01824973337352276,0.01650680019520223,0.01650680019520223,0.02854134701192379,6.897122383117676,0.8386679322150007,0.9172220230102539,7.519577980041504,0.6224552392959595,0.4013552270987313
13.0,104.0,0.125,290785.0,-9215.0,60000.0,21600.0,1.0,0.006832528859376907,0.01222997298464179,0.01222997298464179,0.025470035150647163,8.828751564025879,0.9458992961951149,0.9217664003372192,9.578079223632812,0.7493276596069336,0.42055145121043475
14.0,104.0,0.1346153846153846,312625.0,12625.0,60000.0,15000.0,1.0,0.007739182561635971,0.016321709379553795,0.016321709379553795,0.03670060762669891,11.583740234375,1.0638488098991306,0.9295515418052673,12.461644172668457,0.8779036402702332,0.4649734952246096
15.0,96.0,0.15625,285697.0,-14303.0,60000.0,11600.0,1.0,0.005536428652703762,0.013177369721233845,0.013177369721233845,0.020169408759102225,15.735185623168945,1.1968718705185424,0.9326112270355225,16.872180938720703,1.136996865272522,0.49576147373669444
16.0,96.0,0.16666666666666666,304321.0,4321.0,60000.0,10800.0,1.0,0.00823074858635664,0.01226798677816987,0.01226798677816987,0.023875069920904934,9.866936683654785,0.9941823413342146,0.9247852563858032,10.669435501098633,0.8024986982345581,0.4356560258421094
